rule_id,historical_status,decision_eligible,runtime_role,source_artifacts,notes
MURPHY_0003,OBSERVED_BUT_NOT_DECISION_ELIGIBLE,NO,Directional/context candidate,MURPHY_0003_0004_FROZEN_BACKUP_2026-08-13,"Historical output exists, but provenance is a trough-transition population rather than the full joint peak+trough condition."
MURPHY_0004,OBSERVED_BUT_NOT_DECISION_ELIGIBLE,NO,Directional/context candidate,MURPHY_0003_0004_FROZEN_BACKUP_2026-08-13,"Same provenance limitation as 0003; do not promote to decision evidence."
MURPHY_0006,PROVISIONAL_QA_ONLY,NO,Trendline confirmation candidate,"MURPHY_0006_0007_REAL_DATA_CANDIDATE_EVIDENCE_2016_2024_V4.csv; MURPHY_0006_0007_FINAL_FREEZE_REVIEW_PACK_V1","Candidate evidence only; final governance/evaluator integration remains open."
MURPHY_0007,PROVISIONAL_QA_ONLY,NO,Trendline confirmation candidate,"MURPHY_0006_0007_REAL_DATA_CANDIDATE_EVIDENCE_2016_2024_V4.csv; MURPHY_0006_0007_FINAL_FREEZE_REVIEW_PACK_V1","Candidate evidence only; no production-frozen decision stream."
MURPHY_0018,NOT_EVALUABLE,NO,Technical/context rule,MURPHY_51 mapping/audit set,"No source-backed 2016-2024 historical producer established in reviewed Murphy pack."
MURPHY_0019,NOT_EVALUABLE,NO,Technical/context rule,MURPHY_51 mapping/audit set,"No source-backed 2016-2024 historical producer established in reviewed Murphy pack."
MURPHY_0021,SOURCE_BACKED_HISTORICAL_EVALUATION,YES,Historical evaluator evidence,MURPHY_0021_0023_CLEAN_2020_2024_BACKUP_2026-08-13/MURPHY_0021_0023_HISTORICAL_EVALUATION_2020_2024_CLEAN_V1.csv,"Existing source-backed evaluator output; window begins 2020, so 2016-2019 is unavailable from this artifact."
MURPHY_0022,SOURCE_BACKED_HISTORICAL_EVALUATION,YES,Historical evaluator evidence,MURPHY_0021_0023_CLEAN_2020_2024_BACKUP_2026-08-13/MURPHY_0021_0023_HISTORICAL_EVALUATION_2020_2024_CLEAN_V1.csv,"Existing source-backed evaluator output; window begins 2020, so 2016-2019 is unavailable from this artifact."
MURPHY_0023,SOURCE_BACKED_HISTORICAL_EVALUATION,YES,Historical evaluator evidence,MURPHY_0021_0023_CLEAN_2020_2024_BACKUP_2026-08-13/MURPHY_0021_0023_HISTORICAL_EVALUATION_2020_2024_CLEAN_V1.csv,"Existing source-backed evaluator output; window begins 2020, so 2016-2019 is unavailable from this artifact."
MURPHY_0025,SOURCE_BACKED_FEATURE_REPLAY,YES,Lookback/context evidence,MURPHY_51 mapping/audit set,"Existing Four-Week Lookback source replay; no new parameters introduced here."
MURPHY_0026,SOURCE_BACKED_FEATURE_REPLAY,YES,Lookback/context evidence,MURPHY_51 mapping/audit set,"Existing Four-Week Lookback source replay; no new parameters introduced here."
MURPHY_0028,SOURCE_BACKED_HISTORICAL_EVALUATION,YES,RSI divergence evidence,MURPHY_0028_RSI_DIVERGENCE_2016_2024_COMBINED_RECOVERY_V1.csv,"Historical QA passes coverage, required fields, availability, duplicates, and 2016-2024 bounds."
MURPHY_0029,SOURCE_BACKED_HISTORICAL_EVALUATION,YES,RSI divergence evidence,MURPHY_0029_EVALUATION_2016_2024_V1.csv,"Historical QA passes coverage, required fields, availability, duplicates, and 2016-2024 bounds."
MURPHY_0030,NOT_EVALUABLE,NO,Point-and-figure context,MURPHY_0030_0032_FREEZE_BACKUP_V1,"No authoritative historical P&F producer output identified."
MURPHY_0031,NOT_EVALUABLE,NO,Point-and-figure context,MURPHY_0030_0032_FREEZE_BACKUP_V1,"No authoritative historical P&F producer output identified."
MURPHY_0032,NOT_EVALUABLE,NO,Point-and-figure context,MURPHY_0030_0032_FREEZE_BACKUP_V1,"No authoritative historical P&F producer output identified."
MURPHY_0033,CONTEXT_REPLAY_CANDIDATE,NO,Market-structure/context replay,MURPHY_0033_LOCAL_FREEZE_V1/CORRECTED_QA_SUMMARY_2016_2024.csv,"Deterministic context replay only; local freeze candidate, not a standalone directional stream."
MURPHY_0034,CANDIDATE_EVIDENCE_ONLY,NO,Elliott structural validation,MURPHY_0034_0041_LOCAL_CANDIDATE_ENGINE_V2/ELLIOTT_CANDIDATES_2016_2024.csv,"Candidate structure validation only; generated candidates are not ground truth."
MURPHY_0035,CANDIDATE_EVIDENCE_ONLY,NO,Elliott structural validation,MURPHY_0034_0041_LOCAL_CANDIDATE_ENGINE_V2/ELLIOTT_CANDIDATES_2016_2024.csv,"Candidate structure validation only; generated candidates are not ground truth."
MURPHY_0036,CANDIDATE_EVIDENCE_ONLY,NO,Elliott structural validation,MURPHY_0034_0041_LOCAL_CANDIDATE_ENGINE_V2/ELLIOTT_CANDIDATES_2016_2024.csv,"Candidate structure validation only; generated candidates are not ground truth."
MURPHY_0037,EVIDENCE_REPLAY_READY,NO,Fibonacci/context,MURPHY_0037_0038_0040_0041_REPLAY_V1/REPLAY_SUMMARY_2016_2024.csv,"Reference-zone evidence; no standalone direction."
MURPHY_0038,EVIDENCE_REPLAY_READY,NO,Cycle-period/context,MURPHY_0037_0038_0040_0041_REPLAY_V1/REPLAY_SUMMARY_2016_2024.csv,"Cycle-period observations only; no standalone direction."
MURPHY_0039,PROCESS_GATE,NO,Governance/process,MURPHY_0034_0045_LOCAL_PRODUCTION_FREEZE_RECORD_V1.json,"System process/regime gate; no market direction."
MURPHY_0040,SOURCE_BACKED_DYNAMIC_REPLAY,NO,Parabolic SAR context,MURPHY_0040_0041_DYNAMIC_REPLAY_V2/DYNAMIC_REPLAY_SUMMARY_2016_2024.csv,"Source-backed replay; context only, with governed parameters."
MURPHY_0041,SOURCE_BACKED_DYNAMIC_REPLAY,NO,ADX/DMI context,MURPHY_0040_0041_DYNAMIC_REPLAY_V2/DYNAMIC_REPLAY_SUMMARY_2016_2024.csv,"ADX direction-of-change is primary operator; 20/25 are reference zones, not tuned decision thresholds."
