rule_id,current_status,work_lane,shared_accelerator,next_gate,protected
MURPHY_0001,REVIEW,SEMANTIC_AUDIT,SHARED_EVIDENCE,source_operator_audit,NO
MURPHY_0002,NOT_EVALUABLE,TIMING_AUDIT,SHARED_EVIDENCE,timing_producer_compatibility,NO
MURPHY_0005,UNBLOCKED,FEATURE_AUDIT,PIVOT_SEQUENCE_V2,source_contract_and_evaluator,NO
MURPHY_0009,REVIEW,BREAKOUT_AUDIT,SHARED_PF_B1,decisive_break_contract,NO
MURPHY_0010,NOT_EVALUABLE,FILTER_AUDIT,SHARED_EVIDENCE,source_filter_contract,NO
MURPHY_0011,REVIEW,STRUCTURE_AUDIT,PIVOT_SEQUENCE_V2,established_trend_contract,NO
MURPHY_0012,REVIEW,STRUCTURE_AUDIT,PIVOT_SEQUENCE_V2,reversal_consolidation_contract,NO
MURPHY_0013,REVIEW,GEOMETRY_AUDIT,SHARED_PF_B1,convergence_and_breakout_binding,NO
MURPHY_0014,UNBLOCKED,PIVOT_AUDIT,PIVOT_SEQUENCE_V2,point_qualification_contract,NO
MURPHY_0015,UNBLOCKED,PIVOT_AUDIT,PIVOT_SEQUENCE_V2,point_qualification_contract,NO
MURPHY_0016,UNBLOCKED,FLAGPOLE_AUDIT,SHARED_EVIDENCE,flagpole_detector_contract,NO
MURPHY_0017,UNBLOCKED,FLAGPOLE_AUDIT,SHARED_EVIDENCE,flagpole_detector_contract,NO
MURPHY_0018,UNBLOCKED,GEOMETRY_AUDIT,SHARED_EVIDENCE,converging_two_line_contract,NO
MURPHY_0019,UNBLOCKED,GEOMETRY_AUDIT,SHARED_EVIDENCE,converging_two_line_contract,NO
MURPHY_0020,REVIEW,S_R_AUDIT,SHARED_EVIDENCE,horizontal_parallel_tolerance_contract,NO
MURPHY_0024,REVIEW,INDICATOR_BINDING_AUDIT,EXISTING_MA_MODULE,exact_ma_spec_binding,NO
MURPHY_0027,PARTIAL,EVIDENCE_AUDIT,EXISTING_OSCILLATOR_MODULE,strong_trend_range_gate,NO
MURPHY_0030,NOT_EVALUABLE,PNF_AUDIT,EXISTING_PNF_WORK,verified_pnf_feature_and_source,NO
MURPHY_0031,NOT_EVALUABLE,PNF_AUDIT,EXISTING_PNF_WORK,verified_pnf_trend_feature,NO
MURPHY_0032,NOT_EVALUABLE,PNF_AUDIT,EXISTING_PNF_WORK,verified_pnf_trend_feature,NO
MURPHY_0033,REVIEW,NISON_INTEGRATION_AUDIT,EXISTING_NISON_INTEGRATION,candlestick_context_contract,NO
MURPHY_0034,NOT_EVALUABLE,ELLIOTT_AUDIT,SHARED_EVIDENCE,verified_wave_structure,NO
MURPHY_0035,NOT_EVALUABLE,ELLIOTT_AUDIT,SHARED_EVIDENCE,verified_wave_length,NO
MURPHY_0036,NOT_EVALUABLE,ELLIOTT_AUDIT,SHARED_EVIDENCE,verified_wave_structure,NO
MURPHY_0037,REVIEW,FIBONACCI_AUDIT,EXISTING_FIBONACCI_MODULE,source_level_binding,NO
MURPHY_0038,NOT_EVALUABLE,CYCLE_AUDIT,SHARED_EVIDENCE,verified_cycle_trough,NO
MURPHY_0039,REVIEW,DECISION_BRAIN_GATE,DECISION_BRAIN_PROCESS,process_gate_contract,NO
MURPHY_0040,UNBLOCKED,INDICATOR_AUDIT,EXISTING_SAR_MODULE,exact_sar_operator,NO
MURPHY_0041,UNBLOCKED,INDICATOR_AUDIT,EXISTING_DMI_ADX_MODULE,exact_dmi_adx_operator,NO
MURPHY_0042,REVIEW,RISK_AUDIT,EXISTING_RISK_ENGINE,risk_rule_binding,NO
MURPHY_0043,REVIEW,RISK_AUDIT,EXISTING_RISK_ENGINE,exposure_scope_binding,NO
MURPHY_0044,REVIEW,RISK_AUDIT,EXISTING_RISK_ENGINE,risk_per_market_binding,NO
MURPHY_0045,REVIEW,RISK_AUDIT,EXISTING_RISK_ENGINE,margin_scope_binding,NO
MURPHY_0046,REVIEW,BREADTH_AUDIT,EXISTING_BREADTH_DATA,broad_market_dataset_verification,NO
MURPHY_0047,NOT_EVALUABLE,BREADTH_AUDIT,EXISTING_BREADTH_DATA,ad_line_and_new_highs_verification,NO
MURPHY_0048,NOT_EVALUABLE,BREADTH_AUDIT,EXISTING_TRIN_DATA,trin_ma_verification,NO
MURPHY_0049,NOT_EVALUABLE,BREADTH_AUDIT,EXISTING_TRIN_DATA,trin_verification,NO
MURPHY_0050,PARTIAL,COMBINED_EVIDENCE_AUDIT,SHARED_EVIDENCE,subcontract_closure,NO
MURPHY_0051,REVIEW,DECISION_BRAIN_GATE,DECISION_BRAIN_PROCESS,checklist_contract,NO
