rule_id,current_status,main_problem
MURPHY_0001,REVIEW,"Definite reversal operator/state is not source-locked."
MURPHY_0002,NOT_EVALUABLE,"Execution/timing/process statement; no approved primitive."
MURPHY_0003,NOT FROZEN,"Historical provenance unresolved; do not tune to old counts."
MURPHY_0004,NOT FROZEN,"Historical provenance unresolved; do not tune to old counts."
MURPHY_0005,UNBLOCKED,"Feature exists; exact evaluator/definition for tight horizontal band is required."
MURPHY_0006,QA PASS / FREEZE CANDIDATE — OTHER CHAT,"2016–2024 QA candidate; production governance/source-lock still open."
MURPHY_0007,QA PASS / FREEZE CANDIDATE — OTHER CHAT,"2016–2024 QA candidate; production governance/source-lock still open."
MURPHY_0008,REVIEW,"Decisive-break operator is not closed."
MURPHY_0009,REVIEW,"Decisive-break operator is not closed."
MURPHY_0010,NOT_EVALUABLE,"Price/time filter selection contract is not frozen."
MURPHY_0011,REVIEW,"Established-trend definition is not closed."
MURPHY_0012,REVIEW,"Reversal-vs-consolidation contract is missing."
MURPHY_0013,REVIEW,"Exact breakout-window representation is not closed; no tuning/approximation."
MURPHY_0014,UNBLOCKED,"Pivot sequence exists; exact evaluator/point qualification required."
MURPHY_0015,UNBLOCKED,"Pivot sequence exists; exact evaluator/point qualification required."
MURPHY_0016,UNBLOCKED,"No approved flagpole detector/threshold or geometry primitive."
MURPHY_0017,UNBLOCKED,"No approved flagpole detector/threshold; pivots alone are insufficient."
MURPHY_0018,UNBLOCKED,"Converging two-line negative-slope geometry evaluator missing."
MURPHY_0019,UNBLOCKED,"Converging two-line positive-slope geometry evaluator missing."
MURPHY_0020,REVIEW,"Horizontal/parallel S/R tolerance is not approved."
MURPHY_0021,QA PASS / FREEZE CANDIDATE,"Evaluator/tests/QA exist; production freeze pending."
MURPHY_0022,QA PASS / FREEZE CANDIDATE,"Evaluator/tests/QA exist; source-compatible price/volume/OI semantics must remain locked."
MURPHY_0023,QA PASS / FREEZE CANDIDATE,"Evaluator/tests/QA exist; source-compatible price/volume/OI semantics must remain locked."
MURPHY_0024,REVIEW,"Exact Murphy MA specification must bind to existing MA module."
MURPHY_0025,SOURCE/FEATURE COMPATIBLE — VALIDATION PENDING,"Four-week feature exists; evaluator/tests/historical QA pending."
MURPHY_0026,SOURCE/FEATURE COMPATIBLE — VALIDATION PENDING,"Four-week feature exists; evaluator/tests/historical QA pending."
MURPHY_0027,PARTIAL,"Oscillator + strong-trend/range gate needs exact existing-module contract."
MURPHY_0028,QA PASS / FREEZE CANDIDATE,"Divergence evaluator/tests/QA exist; production freeze pending."
MURPHY_0029,QA PASS / FREEZE CANDIDATE,"Divergence evaluator/tests/QA exist; production freeze pending."
MURPHY_0030,PRODUCTION FROZEN / CLOSED,"P&F rule frozen; preserve 2026-08-17 freeze backup and QA evidence."
MURPHY_0031,PRODUCTION FROZEN / CLOSED,"P&F rule frozen; preserve 2026-08-17 freeze backup and QA evidence."
MURPHY_0032,PRODUCTION FROZEN / CLOSED,"P&F rule frozen; preserve 2026-08-17 freeze backup and QA evidence."
MURPHY_0033,REVIEW,"Candlestick-to-context combination contract must come from existing Nison integration."
MURPHY_0034,NOT_EVALUABLE,"No verified Elliott Wave structure."
MURPHY_0035,NOT_EVALUABLE,"No verified Elliott Wave wave-length feature."
MURPHY_0036,NOT_EVALUABLE,"No verified Elliott Wave structure; source scope must not be generalized."
MURPHY_0037,REVIEW,"Existing Fibonacci module must be verified before using explicit source levels."
MURPHY_0038,NOT_EVALUABLE,"No verified cycle-trough feature."
MURPHY_0039,REVIEW,"Process principle; must be a Brain process gate, not a direction generator."
MURPHY_0040,UNBLOCKED,"Parabolic SAR feature/gate/evaluator needs exact verification; no substitute/invented threshold."
MURPHY_0041,UNBLOCKED,"DMI/ADX feature/operator needs exact verification; trend_regime is not a substitute."
MURPHY_0042,PRODUCTION FROZEN / CLOSED,"Portfolio risk constraint frozen; see MURPHY_0042_0045 freeze QA manifest."
MURPHY_0043,PRODUCTION FROZEN / CLOSED,"Portfolio risk constraint frozen; see MURPHY_0042_0045 freeze QA manifest."
MURPHY_0044,PRODUCTION FROZEN / CLOSED,"Portfolio risk constraint frozen; see MURPHY_0042_0045 freeze QA manifest."
MURPHY_0045,PRODUCTION FROZEN / CLOSED,"Portfolio risk constraint frozen; see MURPHY_0042_0045 freeze QA manifest."
MURPHY_0046,REVIEW,"No verified broad-market/sector breadth dataset; no invented proxy."
MURPHY_0047,NOT_EVALUABLE,"No verified A/D line and market-index/new-high data."
MURPHY_0048,NOT_EVALUABLE,"No verified TRIN/TRIN-MA feature."
MURPHY_0049,NOT_EVALUABLE,"No verified TRIN feature."
MURPHY_0050,PARTIAL,"Combined evidence incomplete; breadth unavailable and several subcontracts need closure."
MURPHY_0051,REVIEW,"Decision-process checklist; missing evidence remains NOT_EVALUABLE, not FAIL."
