accelerator,entrypoint,entrypoint_type,source_basis,missing_means,status_policy
SHARED_EVIDENCE,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
SHARED_PF_B1,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
PIVOT_SEQUENCE_V2,tests/murphy_pivot_sequence_v2_availability_contract_test.py,PYTEST_FILE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,INTEGRATION_ONLY
EXISTING_MA_MODULE,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
EXISTING_OSCILLATOR_MODULE,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
EXISTING_PNF_WORK,tests/murphy_0030_0032/test_pnf_3box_reference.py,PYTEST_FILE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
EXISTING_NISON_INTEGRATION,,PYTEST_FILE,SEPARATE_NISON_WORKSTREAM,NOT_EVALUABLE,OUT_OF_SCOPE
EXISTING_FIBONACCI_MODULE,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
DECISION_BRAIN_PROCESS,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
EXISTING_SAR_MODULE,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
EXISTING_DMI_ADX_MODULE,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
EXISTING_RISK_ENGINE,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
EXISTING_BREADTH_DATA,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
EXISTING_TRIN_DATA,,PYTEST_OR_MODULE,EXISTING_PROJECT_KNOWLEDGE,NOT_EVALUABLE,NO_INVENTION
