rule_id,work_lane,shared_accelerator,clause_strategy,freeze_policy
MURPHY_0001,SEMANTIC_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0002,TIMING_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0005,FEATURE_AUDIT,PIVOT_SEQUENCE_V2,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0009,BREAKOUT_AUDIT,SHARED_PF_B1,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0010,FILTER_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0011,STRUCTURE_AUDIT,PIVOT_SEQUENCE_V2,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0012,STRUCTURE_AUDIT,PIVOT_SEQUENCE_V2,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0013,GEOMETRY_AUDIT,SHARED_PF_B1,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0014,PIVOT_AUDIT,PIVOT_SEQUENCE_V2,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0015,PIVOT_AUDIT,PIVOT_SEQUENCE_V2,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0016,FLAGPOLE_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0017,FLAGPOLE_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0018,GEOMETRY_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0019,GEOMETRY_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0020,S_R_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0024,INDICATOR_BINDING_AUDIT,EXISTING_MA_MODULE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0027,EVIDENCE_AUDIT,EXISTING_OSCILLATOR_MODULE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0030,PNF_AUDIT,EXISTING_PNF_WORK,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0031,PNF_AUDIT,EXISTING_PNF_WORK,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0032,PNF_AUDIT,EXISTING_PNF_WORK,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0033,NISON_INTEGRATION_AUDIT,EXISTING_NISON_INTEGRATION,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0034,ELLIOTT_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0035,ELLIOTT_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0036,ELLIOTT_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0037,FIBONACCI_AUDIT,EXISTING_FIBONACCI_MODULE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0038,CYCLE_AUDIT,SHARED_EVIDENCE,HARD_CANONICAL_PLUS_QUALITATIVE_GATE,NO_AUTO_FREEZE
MURPHY_0039,DECISION_BRAIN_GATE,DECISION_BRAIN_PROCESS,HARD_CANONICAL_PLUS_PROCESS_GATE,NO_AUTO_FREEZE
MURPHY_0040,INDICATOR_AUDIT,EXISTING_SAR_MODULE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0041,INDICATOR_AUDIT,EXISTING_DMI_ADX_MODULE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0042,RISK_AUDIT,EXISTING_RISK_ENGINE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0043,RISK_AUDIT,EXISTING_RISK_ENGINE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0044,RISK_AUDIT,EXISTING_RISK_ENGINE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0045,RISK_AUDIT,EXISTING_RISK_ENGINE,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0046,BREADTH_AUDIT,EXISTING_BREADTH_DATA,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0047,BREADTH_AUDIT,EXISTING_BREADTH_DATA,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0048,BREADTH_AUDIT,EXISTING_TRIN_DATA,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
MURPHY_0049,BREADTH_AUDIT,EXISTING_TRIN_DATA,HARD_CANONICAL_PLUS_PRIMITIVE_ADAPTER,NO_AUTO_FREEZE
