accelerator,source_archives_inspected,source_material_found,executable_artifact_found,initial_status,next_action
SHARED_EVIDENCE,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"Build only a source-bounded evidence adapter after canonical rule mapping"
SHARED_PF_B1,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"Locate/verify approved primitive before implementation"
PIVOT_SEQUENCE_V2,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"Locate/verify approved pivot primitive before implementation"
EXISTING_MA_MODULE,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_TRADING_RULES_V2.zip",YES,NO,SOURCE_ONLY,"No executable MA module found in inspected archives; preserve NOT_EVALUABLE"
EXISTING_OSCILLATOR_MODULE,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"No executable oscillator module found in inspected archives; preserve NOT_EVALUABLE"
EXISTING_PNF_WORK,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip; GBPUSD_RULE_EVALUATOR_V2 workspace",YES,YES,EXECUTABLE,"Continue semantic compatibility and no-lookahead gates for 0030-0032"
EXISTING_NISON_INTEGRATION,"AI_Trading_Assistant_NISON_CONTEXT_ENGINE_V1.zip; AI_Trading_Assistant_NISON_CANDLE_CONFIRMATION_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"Contracts/specs exist but no executable engine found in inspected archives; do not promote 0033 yet"
EXISTING_FIBONACCI_MODULE,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"Fibonacci knowledge exists; no executable module found in inspected archives"
DECISION_BRAIN_PROCESS,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_CONTEXT_AWARE_RETRIEVAL_V2.zip; AI_Trading_Assistant_MARKET_READER_V1.zip",YES,NO,SOURCE_ONLY,"Architecture/contracts found; no executable Murphy-specific process gate found"
EXISTING_SAR_MODULE,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"Murphy SAR/DMI/ADX source material found; no executable SAR module found"
EXISTING_DMI_ADX_MODULE,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"Murphy DMI/ADX source material found; no executable DMI/ADX module found"
EXISTING_RISK_ENGINE,"AI_Trading_Assistant_TRADING_RULES_V2.zip; AI_Trading_Assistant_MASTER_KB_V1.zip",YES,NO,SOURCE_ONLY,"Risk contracts/rules found; no executable risk-engine artifact found in inspected archives"
EXISTING_BREADTH_DATA,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"Breadth definitions found; no executable breadth data artifact found"
EXISTING_TRIN_DATA,"AI_Trading_Assistant_MASTER_KB_V1.zip; AI_Trading_Assistant_3_BOOK_INTEGRATION_V1.zip",YES,NO,SOURCE_ONLY,"TRIN source material found; no executable TRIN data artifact found"
