rule_id,frozen_scope,workspace_runtime_state,workspace_artifact,mapping_statuses,next_action
MURPHY_0003,True,RUNTIME_VERIFIED,MURPHY_EVALUATORS_V1/murphy_0003_0004_evaluator.py,REQUIRES_DERIVED_FEATURE,Bind evaluator output through Rule Adapter; no rule-semantic rewrite.
MURPHY_0004,True,RUNTIME_VERIFIED,MURPHY_EVALUATORS_V1/murphy_0003_0004_evaluator.py,REQUIRES_DERIVED_FEATURE,Bind evaluator output through Rule Adapter; no rule-semantic rewrite.
MURPHY_0006,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,PIVOT_SEQUENCE_V1_OUTPUT + TRENDLINE_GEOMETRY_V1_OUTPUT,EVALUATABLE_AFTER_SEQUENCE_FEATURE | NOT_YET_EVALUABLE | REQUIRES_DERIVED_FEATURE,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0007,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,PIVOT_SEQUENCE_V1_OUTPUT + TRENDLINE_GEOMETRY_V1_OUTPUT,EVALUATABLE_AFTER_SEQUENCE_FEATURE | NOT_YET_EVALUABLE | REQUIRES_DERIVED_FEATURE,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0008,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,support/resistance primitives,PARTIAL,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0018,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,TRENDLINE_GEOMETRY_V1_OUTPUT,PARTIAL | REQUIRES_DERIVED_FEATURE,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0019,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,TRENDLINE_GEOMETRY_V1_OUTPUT,NOT_YET_EVALUABLE | REQUIRES_DERIVED_FEATURE,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0021,True,RUNTIME_VERIFIED,MURPHY_EVALUATORS_V1/murphy_0021_0023_evaluator.py,PARTIAL,Bind evaluator output through Rule Adapter; no rule-semantic rewrite.
MURPHY_0022,True,RUNTIME_VERIFIED,MURPHY_EVALUATORS_V1/murphy_0021_0023_evaluator.py,EVALUATABLE_AFTER_FEATURE_SCHEMA_CONFIRMATION | NOT_EVALUABLE | NOT_YET_EVALUABLE | PARTIAL,Bind evaluator output through Rule Adapter; no rule-semantic rewrite.
MURPHY_0023,True,RUNTIME_VERIFIED,MURPHY_EVALUATORS_V1/murphy_0021_0023_evaluator.py,EVALUATABLE_AFTER_FEATURE_SCHEMA_CONFIRMATION | NOT_EVALUABLE | PARTIAL,Bind evaluator output through Rule Adapter; no rule-semantic rewrite.
MURPHY_0025,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,FOUR_WEEK_LOOKBACK_V1_OUTPUT,NOT_YET_EVALUABLE,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0026,True,FEATURE_RUNTIME_PRESENT_BINDING_REQUIRED,FOUR_WEEK_LOOKBACK_V1_OUTPUT,NOT_YET_EVALUABLE | PARTIAL,Create adapter/evaluator binding from existing frozen semantics and existing feature module.
MURPHY_0028,True,RUNTIME_VERIFIED,MURPHY_EVALUATORS_V1/murphy_0027_0029_evaluator.py,NOT_YET_EVALUABLE | PARTIAL,Bind evaluator output through Rule Adapter; no rule-semantic rewrite.
MURPHY_0029,True,RUNTIME_VERIFIED,MURPHY_EVALUATORS_V1/murphy_0027_0029_evaluator.py,NOT_YET_EVALUABLE | PARTIAL,Bind evaluator output through Rule Adapter; no rule-semantic rewrite.
MURPHY_0030,True,FROZEN_ARTIFACT_RECOVERY_REQUIRED,freeze/closure artifact not yet located in reconstructed workspace,NOT_EVALUABLE | NOT_YET_EVALUABLE,Recover exact evaluator/closure artifact from freeze backups/GitHub/Dropbox before implementation; do not recreate semantics.
